filename,ID,gender,index,age,race
375_MP_F_01.png,375,F,1,16,B
375_MP_F_04.png,375,F,4,35,B
383_MP_M_02.png,383,M,2,36,W
383_MP_M_03.png,383,M,3,36,W
384_MP_F_01.png,384,F,1,20,B
384_MP_F_02.png,384,F,2,27,B
404_MP_F_01.png,404,F,1,19,W
404_MP_F_03.png,404,F,3,30,W
406_MP_F_02.png,406,F,2,35,B
406_MP_F_03.png,406,F,3,36,B
412_MP_F_01.png,412,F,1,23,W
412_MP_F_02.png,412,F,2,29,W
425_MP_F_01.png,425,F,1,17,W
425_MP_F_02.png,425,F,2,22,W
443_MP_F_01.png,443,F,1,17,W
443_MP_F_02.png,443,F,2,21,W
444_MP_F_01.png,444,F,1,23,B
444_MP_F_02.png,444,F,2,25,B
447_MP_F_01.png,447,F,1,17,B
447_MP_F_03.png,447,F,3,23,B
454_MP_F_01.png,454,F,1,19,B
454_MP_F_04.png,454,F,4,31,B
469_MP_F_01.png,469,F,1,32,W
469_MP_F_02.png,469,F,2,34,W
470_MP_M_02.png,470,M,2,33,W
470_MP_M_03.png,470,M,3,42,W
475_MP_F_01.png,475,F,1,22,B
475_MP_F_03.png,475,F,3,35,B
511_MP_F_01.png,511,F,1,32,B
511_MP_F_02.png,511,F,2,37,B
517_MP_F_01.png,517,F,1,23,W
517_MP_F_02.png,517,F,2,28,W
547_MP_F_02.png,547,F,2,22,W
547_MP_F_04.png,547,F,4,25,W
565_MP_F_01.png,565,F,1,21,B
565_MP_F_02.png,565,F,2,23,B
570_MP_F_01.png,570,F,1,17,W
570_MP_F_02.png,570,F,2,26,W
578_MP_F_01.png,578,F,1,18,B
578_MP_F_04.png,578,F,4,25,B
583_MP_F_01.png,583,F,1,17,B
583_MP_F_02.png,583,F,2,18,B
584_MP_F_01.png,584,F,1,23,B
584_MP_F_02.png,584,F,2,24,B
600_MP_F_01.png,600,F,1,16,W
600_MP_F_02.png,600,F,2,19,W
607_MP_F_01.png,607,F,1,26,W
607_MP_F_02.png,607,F,2,35,W
617_MP_F_01.png,617,F,1,27,B
617_MP_F_02.png,617,F,2,35,B
620_MP_F_01.png,620,F,1,40,W
620_MP_F_03.png,620,F,3,43,W
633_MP_F_02.png,633,F,2,30,W
633_MP_F_03.png,633,F,3,33,W
647_MP_F_01.png,647,F,1,18,B
647_MP_F_03.png,647,F,3,21,B
675_MP_F_01.png,675,F,1,32,B
675_MP_F_03.png,675,F,3,35,B
684_MP_F_01.png,684,F,1,18,W
684_MP_F_02.png,684,F,2,19,W
707_MP_F_01.png,707,F,1,18,W
707_MP_F_02.png,707,F,2,22,W
1008_FG_F_04.png,1008,F,4,0,W
1008_FG_F_07.png,1008,F,7,0,W
1027_FG_F_03.png,1027,F,3,0,W
1027_FG_F_05.png,1027,F,5,0,W
1039_FG_F_06.png,1039,F,6,0,W
1039_FG_F_07.png,1039,F,7,0,W
1052_FG_F_03.png,1052,F,3,0,W
1052_FG_F_06.png,1052,F,6,0,W
1054_FG_F_11.png,1054,F,11,0,W
1054_FG_F_12.png,1054,F,12,0,W
